"Stimulus","Country","NeuterResponses","DutchCognate","GermanGender","DutchGender"
"Stadt","Belgium",0,"stad","feminine","common"
"Stadt","The Netherlands",0,"stad","feminine","common"
"Saal","Belgium",0,"zaal","masculine","common"
"Saal","The Netherlands",0.0674157303370786,"zaal","masculine","common"
"Nacht","Belgium",0.0652173913043478,"nacht","feminine","common"
"Nacht","The Netherlands",0.0224719101123595,"nacht","feminine","common"
"Stern","Belgium",0,"ster","masculine","common"
"Stern","The Netherlands",0.101123595505618,"ster","masculine","common"
"Mund","Belgium",0.0652173913043478,"mond","masculine","common"
"Mund","The Netherlands",0.0449438202247191,"mond","masculine","common"
"Frucht","Belgium",0.0434782608695652,"vrucht","feminine","common"
"Frucht","The Netherlands",0.0674157303370786,"vrucht","feminine","common"
"Preis","Belgium",0.0434782608695652,"prijs","masculine","common"
"Preis","The Netherlands",0.0674157303370786,"prijs","masculine","common"
"Berg","Belgium",0.0434782608695652,"berg","masculine","common"
"Berg","The Netherlands",0.0909090909090909,"berg","masculine","common"
"Wurst","Belgium",0.0869565217391304,"worst","feminine","common"
"Wurst","The Netherlands",0.0561797752808989,"worst","feminine","common"
"Tür","Belgium",0.108695652173913,"deur","feminine","common"
"Tür","The Netherlands",0.0449438202247191,"deur","feminine","common"
"Brust","Belgium",0.0869565217391304,"borst","feminine","common"
"Brust","The Netherlands",0.0786516853932584,"borst","feminine","common"
"Bahn","Belgium",0.0652173913043478,"baan","feminine","common"
"Bahn","The Netherlands",0.101123595505618,"baan","feminine","common"
"Kunst","Belgium",0.130434782608696,"kunst","feminine","common"
"Kunst","The Netherlands",0.0561797752808989,"kunst","feminine","common"
"Platz","Belgium",0.108695652173913,"plaats","masculine","common"
"Platz","The Netherlands",0.101123595505618,"plaats","masculine","common"
"Fleck","Belgium",0.108695652173913,"vlek","masculine","common"
"Fleck","The Netherlands",0.123595505617978,"vlek","masculine","common"
"Tour","Belgium",0.173913043478261,"toer","feminine","common"
"Tour","The Netherlands",0.0674157303370786,"toer","feminine","common"
"Quiz","Belgium",0.152173913043478,"quiz","neuter","common"
"Quiz","The Netherlands",0.101123595505618,"quiz","neuter","common"
"Knie","Belgium",0.130434782608696,"knie","neuter","common"
"Knie","The Netherlands",0.123595505617978,"knie","neuter","common"
