Participant,Construction,Accent,Speaker,Item,Correct
S100,DO,Accent,Idan,4,TRUE
S100,DO,Accent,Idan,19,FALSE
S100,DO,Accent,Idan,17,FALSE
S100,DO,Accent,Idan,13,TRUE
S100,DO,Accent,Idan,15,TRUE
S100,PO,Accent,Idan,12,TRUE
S100,PO,Accent,Idan,3,TRUE
S100,DO,Accent,Idan,1,FALSE
S100,PO,Accent,Idan,9,TRUE
S100,PO,Accent,Idan,18,TRUE
S100,DO,Accent,Idan,6,TRUE
S100,PO,Accent,Idan,16,TRUE
S100,PO,Accent,Idan,14,TRUE
S100,PO,Accent,Idan,7,TRUE
S100,DO,Accent,Idan,11,FALSE
S100,PO,Accent,Idan,2,TRUE
S100,PO,Accent,Idan,5,TRUE
S101,PO,None,Idan,20,TRUE
S101,PO,None,Idan,13,TRUE
S101,DO,None,Idan,16,TRUE
S101,DO,None,Idan,10,TRUE
S101,PO,None,Idan,4,TRUE
S101,DO,None,Idan,14,FALSE
S101,DO,None,Idan,12,TRUE
S101,PO,None,Idan,19,TRUE
S101,DO,None,Idan,2,TRUE
S101,DO,None,Idan,9,TRUE
S101,PO,None,Idan,17,TRUE
S101,PO,None,Idan,15,TRUE
S101,PO,None,Idan,11,TRUE
S101,DO,None,Idan,7,TRUE
S101,DO,None,Idan,18,TRUE
S101,PO,None,Idan,8,TRUE
S101,DO,None,Idan,3,TRUE
S102,PO,None,Idan,14,TRUE
S102,PO,None,Idan,7,TRUE
S102,DO,None,Idan,13,FALSE
S102,DO,None,Idan,11,FALSE
S102,PO,None,Idan,18,TRUE
S102,DO,None,Idan,6,FALSE
S102,PO,None,Idan,10,TRUE
S102,PO,None,Idan,3,TRUE
S102,DO,None,Idan,1,TRUE
S102,DO,None,Idan,17,FALSE
S102,DO,None,Idan,15,FALSE
S102,PO,None,Idan,9,TRUE
S102,DO,None,Idan,4,FALSE
S102,PO,None,Idan,16,TRUE
S102,DO,None,Idan,19,FALSE
S102,DO,None,Idan,20,FALSE
S102,PO,None,Idan,12,TRUE
S102,PO,None,Idan,2,TRUE
S102,PO,None,Idan,5,TRUE
S105,PO,None,Nezar,10,FALSE
S105,PO,None,Nezar,9,TRUE
S105,PO,None,Nezar,16,TRUE
S105,DO,None,Nezar,15,TRUE
S105,DO,None,Nezar,19,TRUE
S105,DO,None,Nezar,4,TRUE
S105,DO,None,Nezar,8,FALSE
S105,DO,None,Nezar,11,TRUE
S105,PO,None,Nezar,7,TRUE
S105,PO,None,Nezar,2,TRUE
S105,PO,None,Nezar,12,TRUE
S105,DO,None,Nezar,20,TRUE
S105,PO,None,Nezar,3,TRUE
S105,DO,None,Nezar,17,TRUE
S105,PO,None,Nezar,18,TRUE
S105,DO,None,Nezar,6,TRUE
S105,DO,None,Nezar,13,TRUE
S105,DO,None,Nezar,1,TRUE
S105,PO,None,Nezar,5,TRUE
S106,PO,Accent,Nezar,2,TRUE
S106,PO,Accent,Nezar,7,FALSE
S106,DO,Accent,Nezar,17,TRUE
S106,DO,Accent,Nezar,15,FALSE
S106,DO,Accent,Nezar,11,FALSE
S106,PO,Accent,Nezar,3,TRUE
S106,DO,Accent,Nezar,4,TRUE
S106,PO,Accent,Nezar,18,TRUE
S106,PO,Accent,Nezar,10,FALSE
S106,DO,Accent,Nezar,13,FALSE
S106,PO,Accent,Nezar,12,FALSE
S106,DO,Accent,Nezar,6,FALSE
S106,DO,Accent,Nezar,20,TRUE
S106,PO,Accent,Nezar,14,TRUE
S106,PO,Accent,Nezar,9,FALSE
S106,DO,Accent,Nezar,19,TRUE
S106,PO,Accent,Nezar,5,TRUE
S106,DO,Accent,Nezar,1,TRUE
S11,PO,None,Nezar,3,TRUE
S11,DO,None,Nezar,20,FALSE
S11,DO,None,Nezar,19,FALSE
S11,PO,None,Nezar,7,FALSE
S11,DO,None,Nezar,1,FALSE
S11,DO,None,Nezar,15,FALSE
S11,PO,None,Nezar,2,FALSE
S11,PO,None,Nezar,18,FALSE
S11,PO,None,Nezar,5,TRUE
S11,DO,None,Nezar,8,FALSE
S11,DO,None,Nezar,4,FALSE
S11,DO,None,Nezar,11,TRUE
S11,PO,None,Nezar,10,FALSE
S11,PO,None,Nezar,12,FALSE
S11,DO,None,Nezar,17,FALSE
S11,PO,None,Nezar,9,FALSE
S11,DO,None,Nezar,6,FALSE
S11,DO,None,Nezar,13,FALSE
S11,PO,None,Nezar,16,TRUE
S110,DO,Accent,Nezar,18,FALSE
S110,DO,Accent,Nezar,7,FALSE
S110,PO,Accent,Nezar,19,FALSE
S110,DO,Accent,Nezar,2,FALSE
S110,DO,Accent,Nezar,16,TRUE
S110,PO,Accent,Nezar,4,TRUE
S110,PO,Accent,Nezar,20,FALSE
S110,PO,Accent,Nezar,17,FALSE
S110,DO,Accent,Nezar,5,FALSE
S110,PO,Accent,Nezar,1,FALSE
S110,PO,Accent,Nezar,13,FALSE
S110,PO,Accent,Nezar,11,FALSE
S110,DO,Accent,Nezar,3,FALSE
S110,DO,Accent,Nezar,10,FALSE
S110,PO,Accent,Nezar,6,FALSE
S110,PO,Accent,Nezar,15,FALSE
S110,DO,Accent,Nezar,14,FALSE
S110,DO,Accent,Nezar,9,FALSE
S110,PO,Accent,Nezar,8,FALSE
S110,DO,Accent,Nezar,12,FALSE
S115,PO,Accent,Idan,14,FALSE
S115,DO,Accent,Idan,19,FALSE
S115,PO,Accent,Idan,9,TRUE
S115,PO,Accent,Idan,5,TRUE
S115,PO,Accent,Idan,18,TRUE
S115,PO,Accent,Idan,3,TRUE
S115,PO,Accent,Idan,2,TRUE
S115,DO,Accent,Idan,4,FALSE
S115,PO,Accent,Idan,12,TRUE
S115,PO,Accent,Idan,16,TRUE
S115,DO,Accent,Idan,6,FALSE
S115,DO,Accent,Idan,15,FALSE
S115,DO,Accent,Idan,11,FALSE
S115,DO,Accent,Idan,1,TRUE
S115,DO,Accent,Idan,17,TRUE
S115,DO,Accent,Idan,13,TRUE
S115,PO,Accent,Idan,7,FALSE
S117,PO,None,Nezar,3,TRUE
S117,PO,None,Nezar,16,FALSE
S117,DO,None,Nezar,13,TRUE
S117,PO,None,Nezar,5,FALSE
S117,DO,None,Nezar,6,TRUE
S117,DO,None,Nezar,17,FALSE
S117,PO,None,Nezar,9,TRUE
S117,PO,None,Nezar,10,FALSE
S117,DO,None,Nezar,19,TRUE
S117,DO,None,Nezar,20,TRUE
S117,DO,None,Nezar,4,FALSE
S117,PO,None,Nezar,18,FALSE
S117,PO,None,Nezar,7,TRUE
S117,DO,None,Nezar,8,TRUE
S117,PO,None,Nezar,2,TRUE
S117,DO,None,Nezar,11,TRUE
S117,PO,None,Nezar,12,TRUE
S117,DO,None,Nezar,15,TRUE
S117,DO,None,Nezar,1,TRUE
S118,DO,None,Nezar,14,FALSE
S118,DO,None,Nezar,2,TRUE
S118,DO,None,Nezar,3,TRUE
S118,PO,None,Nezar,17,TRUE
S118,DO,None,Nezar,9,TRUE
S118,DO,None,Nezar,10,TRUE
S118,PO,None,Nezar,1,TRUE
S118,DO,None,Nezar,7,TRUE
S118,DO,None,Nezar,18,TRUE
S118,DO,None,Nezar,16,TRUE
S118,PO,None,Nezar,6,TRUE
S118,PO,None,Nezar,20,TRUE
S118,DO,None,Nezar,5,TRUE
S118,DO,None,Nezar,12,TRUE
S118,PO,None,Nezar,8,TRUE
S118,PO,None,Nezar,19,TRUE
S118,PO,None,Nezar,4,TRUE
