Participant,Construction,Accent,Speaker,proportion_correct
S100,DO,Accent,Idan,0.5
S100,PO,Accent,Idan,1
S101,DO,None,Idan,0.8888888888888888
S101,PO,None,Idan,1
S102,DO,None,Idan,0.1111111111111111
S102,PO,None,Idan,1
S105,DO,None,Nezar,0.9
S105,PO,None,Nezar,0.8888888888888888
S106,DO,Accent,Nezar,0.5555555555555556
S106,PO,Accent,Nezar,0.5555555555555556
S11,DO,None,Nezar,0.1
S11,PO,None,Nezar,0.3333333333333333
S110,DO,Accent,Nezar,0.1
S110,PO,Accent,Nezar,0.1
S115,DO,Accent,Idan,0.375
S115,PO,Accent,Idan,0.7777777777777778
S117,DO,None,Nezar,0.8
S117,PO,None,Nezar,0.5555555555555556
S118,DO,None,Nezar,0.9
S118,PO,None,Nezar,1
S119,DO,Accent,Idan,0.1111111111111111
S119,PO,Accent,Idan,0
S12,DO,None,Idan,0.3333333333333333
S12,PO,None,Idan,0.4
S122,DO,None,Nezar,1
S122,PO,None,Nezar,1
S123,DO,Accent,Nezar,0.1111111111111111
S123,PO,Accent,Nezar,0.7777777777777778
S126,DO,None,Nezar,0.8
S126,PO,None,Nezar,1
S130,DO,None,Nezar,0.9
S130,PO,None,Nezar,1
S131,DO,None,Nezar,1
S131,PO,None,Nezar,0.8888888888888888
S132,DO,None,Nezar,0
S132,PO,None,Nezar,0.4444444444444444
S133,DO,Accent,Idan,0.125
S133,PO,Accent,Idan,0.8888888888888888
S135,DO,None,Idan,0.4444444444444444
S135,PO,None,Idan,1
S136,DO,Accent,Idan,0
S136,PO,Accent,Idan,0.1111111111111111
S137,DO,None,Nezar,0.5
S137,PO,None,Nezar,0.5
S138,DO,Accent,Nezar,1
S138,PO,Accent,Nezar,1
S142,DO,Accent,Idan,0.3333333333333333
S142,PO,Accent,Idan,0.8888888888888888
S144,DO,None,Nezar,0.9
S144,PO,None,Nezar,1
S149,DO,None,Nezar,0.7
S149,PO,None,Nezar,1
S152,DO,None,Idan,0.3333333333333333
S152,PO,None,Idan,0.5
S154,DO,Accent,Idan,0.7777777777777778
S154,PO,Accent,Idan,0.8888888888888888
S158,DO,Accent,Nezar,0.6666666666666666
S158,PO,Accent,Nezar,0.8888888888888888
S164,DO,None,Idan,0
S164,PO,None,Idan,0.4
S165,DO,None,Idan,0
S165,PO,None,Idan,0.875
S166,DO,Accent,Idan,0
S166,PO,Accent,Idan,0
S167,DO,Accent,Idan,0
S167,PO,Accent,Idan,0.4444444444444444
S171,DO,None,Nezar,1
S171,PO,None,Nezar,0.8888888888888888
S176,DO,None,Idan,0
S176,PO,None,Idan,0.2
S177,DO,None,Nezar,0.6
S177,PO,None,Nezar,0.7777777777777778
S179,DO,Accent,Idan,0.75
S179,PO,Accent,Idan,1
S181,DO,None,Idan,1
S181,PO,None,Idan,1
S183,DO,None,Idan,0.3333333333333333
S183,PO,None,Idan,1
S185,DO,None,Nezar,0.1
S185,PO,None,Nezar,0.1
S187,DO,None,Idan,0.3333333333333333
S187,PO,None,Idan,0.9
S19,DO,Accent,Nezar,1
S19,PO,Accent,Nezar,1
S195,DO,None,Idan,0
S195,PO,None,Idan,0
S196,DO,Accent,Nezar,1
S196,PO,Accent,Nezar,1
S20,DO,Accent,Nezar,0.8888888888888888
S20,PO,Accent,Nezar,1
S202,DO,Accent,Nezar,0
S202,PO,Accent,Nezar,0.2222222222222222
S206,DO,None,Nezar,0.6
S206,PO,None,Nezar,1
S207,DO,Accent,Idan,0
S207,PO,Accent,Idan,0
S210,DO,None,Idan,0.8888888888888888
S210,PO,None,Idan,1
S211,DO,Accent,Idan,0.8888888888888888
S211,PO,Accent,Idan,1
S212,DO,None,Nezar,0.8
S212,PO,None,Nezar,0.9
S214,DO,None,Idan,1
S214,PO,None,Idan,1
S215,DO,None,Nezar,0
S215,PO,None,Nezar,0
S216,DO,None,Idan,1
S216,PO,None,Idan,1
S217,DO,Accent,Idan,0.125
S217,PO,Accent,Idan,0.7777777777777778
S220,DO,None,Nezar,1
S220,PO,None,Nezar,1
S221,DO,Accent,Idan,0.25
S221,PO,Accent,Idan,0.8888888888888888
S223,DO,Accent,Nezar,0
S223,PO,Accent,Nezar,0.4
S225,DO,Accent,Nezar,0.8
S225,PO,Accent,Nezar,1
S228,DO,None,Idan,0.1111111111111111
S228,PO,None,Idan,0.75
S23,DO,None,Idan,1
S23,PO,None,Idan,1
S230,DO,Accent,Idan,0.2222222222222222
S230,PO,Accent,Idan,0.1111111111111111
S231,DO,Accent,Nezar,0.2
S231,PO,Accent,Nezar,0
S236,DO,Accent,Idan,0.125
S236,PO,Accent,Idan,0.6666666666666666
S239,DO,Accent,Nezar,0
S239,PO,Accent,Nezar,0.2
S245,DO,None,Idan,0.8888888888888888
S245,PO,None,Idan,1
S246,DO,Accent,Nezar,0.4444444444444444
S246,PO,Accent,Nezar,0.6666666666666666
S247,DO,Accent,Nezar,0.7
S247,PO,Accent,Nezar,0.9
S260,DO,None,Nezar,0.7
S260,PO,None,Nezar,1
S264,DO,Accent,Nezar,1
S264,PO,Accent,Nezar,1
S271,DO,Accent,Nezar,0.3333333333333333
S271,PO,Accent,Nezar,0.4444444444444444
S272,DO,Accent,Idan,0.25
S272,PO,Accent,Idan,0.6666666666666666
S273,DO,Accent,Nezar,0
S273,PO,Accent,Nezar,0.6666666666666666
