"VPNID","NumberOfLanguages","InputPortugueseSchool","PortugueseFather","PortugueseMother","PortugueseParents","EducationFather","EducationMother","EducationParents","LanguageGroup","BilingualControl","RegionalLanguage","Time","Result"
"A_PLF_1",2,50,6,6,12,2,1,3,"Bilingual group (French)","bilingual","French","T1",6
"A_PLF_1",2,50,6,6,12,2,1,3,"Bilingual group (French)","bilingual","French","T2",9
"A_PLF_1",2,50,6,6,12,2,1,3,"Bilingual group (French)","bilingual","French","T3",NA
"A_PLF_2",2,25,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",8
"A_PLF_2",2,25,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",7
"A_PLF_2",2,25,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",10
"A_PLF_3",2,NA,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",7
"A_PLF_3",2,NA,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",6
"A_PLF_3",2,NA,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",NA
"A_PLF_5",2,40,5,6,11,2,2,4,"Bilingual group (French)","bilingual","French","T1",7
"A_PLF_5",2,40,5,6,11,2,2,4,"Bilingual group (French)","bilingual","French","T2",8
"A_PLF_5",2,40,5,6,11,2,2,4,"Bilingual group (French)","bilingual","French","T3",8
"A_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",6
"A_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",6
"A_PLF_6",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"A_PLF_7",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",8
"A_PLF_7",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",6
"A_PLF_7",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",6
"A_PLF_8",2,20,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",8
"A_PLF_8",2,20,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",7
"A_PLF_8",2,20,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",7
"A_PLF_9",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",8
"A_PLF_9",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",11
"A_PLF_9",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",12
"A_PLF_10",2,10,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",7
"A_PLF_10",2,10,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",NA
"A_PLF_10",2,10,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",8
