SubjectID,BiasCondition,Block,ResponseCorrect,Task
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,4,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,2,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,3,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,3,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,1,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,2,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,1,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,4,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,3,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,1,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,4,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,1,yes,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,3,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,2,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,2,no,GJT
0krwma8qskny4r4d1za1gqsp3hp78y4s,StrongBias,4,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,2,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,3,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,1,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,4,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,4,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,4,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,4,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,3,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,1,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,1,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,2,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,3,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,3,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,1,no,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,2,yes,GJT
0pmm7rhegvxjttmjla7zyv0qrfwlv0a0,RuleBasedInput,2,no,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,2,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,3,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,3,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,1,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,4,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,2,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,4,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,3,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,1,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,2,no,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,2,no,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,4,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,1,no,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,3,no,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,1,yes,GJT
0qyn6np5fgyrmqjfbqjq68fcvs61y2gu,RuleBasedInput,4,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,2,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,3,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,2,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,4,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,1,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,2,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,4,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,4,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,3,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,3,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,1,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,1,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,1,no,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,4,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,3,yes,GJT
0uet846f755xvnm9ow9phkusz2zbhgac,WeakBias,2,no,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,4,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,1,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,1,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,3,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,4,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,1,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,1,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,4,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,2,no,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,2,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,3,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,3,no,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,2,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,3,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,4,yes,GJT
0vm3nrrqdd5mnbncnmon7sjp5f7fz4z8,WeakBias,2,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,4,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,1,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,4,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,1,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,1,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,1,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,4,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,2,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,3,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,3,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,2,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,2,yes,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,4,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,3,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,2,no,GJT
12athefgbh4zetjy4y2tn2148p713c6x,WeakBias,3,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,4,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,2,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,2,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,3,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,3,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,1,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,2,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,2,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,1,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,4,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,1,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,4,yes,GJT
1kneonfwope5q8xn0jqzosx0b90kzfr8,RuleBasedInput,1,no,GJT
