"Stimulus","Subject","Hand","Session","Block","Mode","Trial","Response","RT","Translation","Correct","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","OtherLanguages","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","ProfileRight","zEnglish.MC","zEnglish.Cloze","English.Overall","Nonresponses","Status","Duration","Swedish","German","English","French","EnglishCognate","SwedishVoc","GermanVoc","EnglishVoc","FrenchVoc","SwedishCons","GermanCons","EnglishCons","FrenchCons","LevGer","LevEng","LevFre","ClosestCognate","MinLev","LevGerCons","LevEngCons","LevFreCons","ClosestCognateCons","MinLevCons","LevGerVoc","LevEngVoc","LevFreVoc","ClosestCognateVoc","MinLevVoc","FreqGerman","FreqEnglish","FreqFrench","FreqTot","FrenchFreq","EnglishFreq","GermanFreq"
"agg","1034","right",1,1,"Auditory",30,"yes",1729,"eng","0",19,20,0,0,"DBCA",3,"female",51,"monolingual","English, French, Italian",3,5,6,32,0,23,19,8,11,1,0,327.5,506.5,1,417,1,1,526,514,0.9771863118,-12,5,5,2,2,3,2,FALSE,-1.2274562977,-0.538052596,-1.7655088936,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","2151","right",1,2,"Auditory",12,"no",1452,"","0",13,15,0,0,"ADBC",4,"female",26,"monolingual","English, French, Italian, Spanish",4,8,11,32,0,28,33,17,16,1,0.05,411,585,0.9875,498,0.9285714286,1,589,405,0.6876061121,-184,6,6,4,5,4,4,FALSE,0.7234676192,0.2015386012,0.9250062204,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","9022","right",1,2,"Auditory",50,"yes",2365,"ende","0",14,17,0,0,"CBDA",1,"female",65,"monolingual","English, Italian",2,6,7,33,1,12,29,15,14,1,0,358,848,1,603,1,1,494,588,1.1902834008,94,1,NA,NA,NA,3,NA,FALSE,0.289928971,-0.0942978776,0.1956310933,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","7337","right",1,2,"Auditory",28,"yes",1730,"Tinte","0",21,16,0,0,"BCAD",2,"female",49,"monolingual","English, French, Italian",3,4,5,36,2,19,30,15,15,1,0.05,270.5,618,0.9875,444.25,1,1,492.5,474.5,0.9634517766,-18,6,6,1,1,4,4,FALSE,0.289928971,0.0536203618,0.3435493328,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","8477","right",1,1,"Auditory",20,"no",1989,"","0",17,16,0,0,"CADB",1,"female",42,"monolingual","English, French, Italian",3,6,8,36,3,25,26,13,13,1,0,264,330.5,1,297.25,1,0.9285714286,359.5,406,1.1293463143,46.5,6,6,3,3,1,1,FALSE,-0.1436096772,-0.2422161171,-0.3858257943,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","6544","right",1,1,"Auditory",22,"yes",1588,"eng","0",19,20,0,0,"DBCA",3,"female",16,"monolingual","English, French, Spanish",3,4,6,29,2,25,27,14,13,1,0.15,368,630,0.9625,499,0.8571428571,1,498.5,446.5,0.8956870612,-52,5,6,3,3,3,3,FALSE,0.0731596469,-0.2422161171,-0.1690564702,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","5153","right",1,1,"Auditory",39,"yes",2016,"eng","0",25,28,0,0,"ACBD",2,"female",51,"monolingual","English, French, Italian",3,4,6,37,1,18,37,15,22,0.95,0,247,480.5,0.9875,363.75,1,0.9285714286,384,458,1.1927083333,74,6,6,4,4,4,4,FALSE,0.289928971,1.0890480379,1.3789770088,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","1668","right",1,1,"Auditory",33,"yes",2355,"Tinte","0",21,30,1,1,"DACB",3,"female",37,"monolingual","English, French, Italian",3,4,6,35,4,21,37,19,18,1,0.05,438,755,0.9875,596.5,1,1,418.5,463,1.1063321386,44.5,6,1,4,4,4,3,TRUE,1.1570062673,0.4973750801,1.6543813475,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","288","right",2,2,"Auditory",14,"yes",1332,"eng","0",12,9,0,0,"BCAD",2,"male",28,"monolingual","English, French, Italian, Spanish",4,6,9,35,0,24,39,16,23,1,0.05,287,486,0.9875,386.5,1,1,393.5,365.5,0.9288437103,-28,6,6,3,3,3,3,FALSE,0.5066982951,1.2369662773,1.7436645724,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","9781","right",1,2,"Auditory",19,"yes",3073,"tinte","0",22,33,1,0,"BDAC",4,"male",43,"monolingual","English, French, Italian, Dutch",4,8,12,34,0,35,37,16,21,1,0.05,225.5,445,0.9875,335.25,0.9285714286,0.9285714286,351,387,1.1025641026,36,6,6,3,3,4,4,TRUE,0.5066982951,0.9411297984,1.4478280935,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
