"Subject","CorrectCognates","ProfileCorrect"
64,25,"yes"
78,20,"no"
134,12,"no"
230,26,"no"
288,9,"no"
326,24,"yes"
447,25,"no"
527,15,"no"
545,14,"no"
550,24,"no"
552,18,"no"
675,22,"no"
717,18,"no"
776,10,"no"
1034,20,"no"
1076,15,"no"
1232,16,"no"
1264,6,"no"
1312,16,"no"
1350,26,"no"
1401,22,"no"
1404,19,"no"
1570,17,"no"
1644,24,"no"
1668,30,"yes"
1830,6,"no"
1897,23,"yes"
1936,23,"no"
1967,14,"no"
1976,13,"no"
2151,15,"no"
2196,21,"no"
2271,24,"no"
2285,27,"no"
2290,21,"no"
2384,19,"yes"
2493,17,"no"
2654,10,"no"
2795,16,"no"
2846,3,"no"
2909,10,"no"
3071,18,"no"
3121,11,"no"
3125,9,"no"
3172,12,"no"
3204,15,"no"
3270,17,"no"
3357,6,"no"
3434,26,"yes"
3454,11,"no"
3494,24,"no"
3558,3,"no"
3566,24,"no"
3691,22,"no"
3704,29,"no"
3836,14,"no"
3843,19,"no"
3859,29,"yes"
3914,8,"no"
4137,27,"no"
4155,23,"yes"
4181,15,"no"
4274,27,"yes"
4369,28,"no"
4420,7,"no"
4432,20,"no"
4566,13,"no"
4650,30,"yes"
4675,13,"no"
4854,24,"no"
4932,21,"no"
5153,28,"no"
5180,24,"no"
5277,15,"no"
5290,5,"no"
5362,26,"no"
5449,24,"yes"
5491,33,"no"
5566,28,"yes"
5584,24,"yes"
5621,26,"no"
5731,24,"no"
5755,19,"no"
5885,20,"no"
5901,22,"no"
5916,16,"no"
5997,29,"no"
6039,18,"no"
6131,18,"no"
6150,22,"no"
6164,8,"no"
6178,14,"no"
6215,29,"no"
6264,20,"no"
6329,26,"yes"
6448,4,"no"
6510,20,"no"
6516,10,"no"
6532,26,"yes"
6537,30,"yes"
6544,20,"no"
6552,23,"no"
6599,6,"no"
6618,13,"yes"
6760,23,"no"
6780,32,"yes"
6800,16,"yes"
6832,26,"no"
6843,16,"no"
7098,23,"no"
7164,4,"no"
7165,21,"no"
7215,19,"no"
7269,22,"yes"
7330,30,"yes"
7337,16,"no"
7479,18,"no"
7540,14,"no"
7569,12,"no"
7601,22,"no"
7616,6,"no"
7744,3,"no"
7794,24,"yes"
7859,16,"no"
7886,2,"no"
7921,21,"no"
8094,22,"no"
8373,31,"yes"
8385,16,"no"
8443,25,"no"
8477,16,"no"
8509,19,"no"
8531,26,"no"
8578,8,"no"
8667,28,"yes"
8674,17,"no"
8699,25,"no"
8706,16,"no"
8707,26,"no"
8760,20,"no"
8763,5,"no"
8788,7,"no"
8798,15,"no"
8805,14,"no"
8927,23,"yes"
8942,33,"no"
8968,16,"no"
9022,17,"no"
9093,14,"no"
9193,20,"no"
9219,11,"no"
9275,24,"yes"
9318,19,"no"
9442,16,"no"
9490,26,"yes"
9509,19,"no"
9513,5,"no"
9555,7,"no"
9781,33,"yes"
9802,19,"yes"
9861,18,"yes"
9912,8,"no"
9913,11,"no"
