"Stimulus","Subject","Mode","Trial","Translation","Correct","Sex","Age","NrLang","DS.Total","WST.Right","Raven.Right","English.Total","Status","MinLev"
"agg",64,"Auditory",19,,0,"female",27,4,7,34,28,42,"target",0
"agg",1264,"Auditory",29,,0,"male",12,1,5,17,19,11,"target",0
"agg",9022,"Auditory",50,"ende",0,"female",65,2,7,33,12,29,"target",0
"agg",7269,"Auditory",16,"ich",0,"male",25,5,12,35,24,36,"target",0
"agg",8477,"Auditory",20,,0,"female",42,3,8,36,25,26,"target",0
"agg",6510,"Auditory",26,"Eng",0,"female",41,2,8,34,30,40,"target",0
"agg",4274,"Auditory",26,"eng",0,"male",70,3,9,38,18,34,"target",0
"agg",675,"Auditory",40,"eng",0,"male",30,3,7,29,23,28,"target",0
"agg",1967,"Auditory",24,,0,"male",72,1,5,"NA",3,10,"target",0
"agg",9781,"Auditory",19,"tinte",0,"male",43,4,12,34,35,37,"target",0
"agg",7886,"Auditory",7,,0,"female",10,1,6,27,26,31,"target",0
"agg",6832,"Auditory",21,"tinte",0,"female",53,4,8,36,20,33,"target",0
"agg",5277,"Auditory",27,"eng",0,"male",27,3,7,29,29,"NA","target",0
"agg",3843,"Auditory",44,,0,"male",70,4,5,34,17,10,"target",0
"agg",1570,"Auditory",22,,0,"male",29,4,6,36,19,"NA","target",0
"agg",326,"Auditory",34,,0,"female",32,3,6,35,19,32,"target",0
"agg",8674,"Auditory",37,"eng",0,"female",63,3,6,31,23,20,"target",0
"agg",9318,"Auditory",31,"ich",0,"male",72,2,6,34,9,19,"target",0
"agg",7569,"Auditory",8,"Acht",0,"male",10,1,7,4,8,6,"target",0
"agg",5901,"Auditory",31,,0,"male",15,2,6,30,23,33,"target",0
"agg",2285,"Auditory",40,"einen",0,"male",51,2,7,34,32,35,"target",0
"agg",3494,"Auditory",17,"eng",0,"female",46,4,5,32,22,28,"target",0
"agg",1232,"Auditory",24,"eng",0,"male",24,4,5,32,8,34,"target",0
"agg",8968,"Auditory",1,"eng",0,"male",25,2,6,31,21,26,"target",0
"agg",4432,"Auditory",15,,0,"female",16,3,6,29,18,32,"target",0
"agg",8443,"Auditory",4,"eins",0,"female",71,5,5,33,0,36,"target",0
"agg",6448,"Auditory",36,,0,"female",11,2,6,7,22,8,"target",0
"agg",3172,"Auditory",19,"ich",0,"male",16,2,8,23,17,19,"target",0
"agg",4181,"Auditory",14,,0,"female",74,4,5,36,0,35,"target",0
"agg",1936,"Auditory",4,"Tinte",0,"male",60,4,7,36,24,41,"target",0
"agg",9555,"Auditory",8,"eng",0,"male",51,3,6,34,14,36,"target",0
"agg",8763,"Auditory",26,"eng",0,"female",40,2,4,27,26,13,"target",0
"agg",6800,"Auditory",6,"eng",0,"female",28,4,6,31,13,"NA","target",0
"agg",6150,"Auditory",45,"tinte",0,"male",63,6,6,36,18,31,"target",0
"agg",3836,"Auditory",11,"eng",0,"female",66,4,9,35,20,29,"target",0
"agg",2795,"Auditory",48,,0,"female",70,2,7,37,7,7,"target",0
"agg",288,"Auditory",14,"eng",0,"male",28,4,9,35,24,39,"target",0
"agg",1404,"Auditory",14,,0,"female",23,3,6,29,27,29,"target",0
"agg",9275,"Auditory",1,,0,"male",72,3,7,35,9,15,"target",0
"agg",7540,"Auditory",40,"Ink - Tinte",0,"female",59,2,5,31,13,29,"target",0
"agg",4566,"Auditory",29,,0,"female",11,3,6,17,15,10,"target",0
"agg",5885,"Auditory",46,"eng",0,"male",62,2,8,37,13,36,"target",0
"agg",3454,"Auditory",42,,0,"male",10,2,5,23,9,11,"target",0
"agg",1076,"Auditory",27,"ich",0,"male",14,3,9,30,32,23,"target",0
"agg",2271,"Auditory",31,"ich",0,"female",26,4,8,35,28,43,"target",0
"agg",9913,"Auditory",10,"eng",0,"female",40,3,8,29,17,17,"target",0
