VPN,Wortschatz,Englisch,Französisch,Geschlecht,Alter
2,30,0.625,0.526785714,Mann,20
3,33,0.7,0.473214286,Frau,21
4,32,0.7375,0.535714286,Frau,21
5,31,0.6,0.553571429,Frau,22
6,34,0.6875,0.544642857,Frau,21
7,37,0.7875,0.651785714,Mann,23
8,35,0.7875,0.598214286,Frau,20
10,31,0.5875,0.544642857,Frau,23
11,27,0.5875,0.651785714,Frau,21
12,35,0.7,0.5,Mann,21
14,35,0.6625,0.669642857,Frau,22
15,30,0.7125,0.5625,Frau,20
16,36,0.7375,0.901785714,Frau,23
18,36,0.7,0.6875,Frau,24
20,32,0.825,0.428571429,Frau,21
21,28,0.6625,0.589285714,Frau,22
22,27,0.6,0.517857143,Frau,20
23,33,0.675,0.607142857,Frau,25
25,32,0.5375,0.580357143,Frau,22
28,29,0.625,0.455357143,Frau,20
29,31,0.6,0.553571429,Frau,21
32,34,0.6125,0.5625,Frau,23
33,38,0.6125,0.598214286,Frau,22
34,34,0.65,0.517857143,Frau,23
35,35,0.775,0.714285714,Mann,22
36,32,0.65,0.625,Mann,23
37,33,0.5875,0.580357143,Frau,23
38,32,0.7,0.526785714,Frau,21
39,30,0.6625,0.455357143,Mann,21
40,33,0.7,0.607142857,Mann,22
41,35,0.8,0.714285714,Mann,20
42,34,0.75,0.776785714,Frau,37
43,26,0.4875,0.598214286,Frau,22
44,34,0.6375,0.589285714,Frau,23
45,29,0.5375,0.625,Frau,22
47,33,0.825,0.508928571,Frau,24
48,35,0.6,0.5625,Frau,21
49,35,0.7125,0.696428571,Frau,23
50,32,0.675,0.526785714,Frau,22
51,34,0.7375,0.535714286,Frau,21
52,35,0.6,0.651785714,Frau,23
53,25,0.65,0.5,Frau,19
54,32,0.55,0.5,Frau,21
55,34,0.6625,0.553571429,Frau,22
56,33,0.7375,0.598214286,Mann,21
57,30,0.5625,0.491071429,Mann,24
58,33,0.625,0.642857143,Frau,21
59,31,0.625,0.535714286,Frau,24
60,34,0.6625,0.526785714,Frau,22
61,29,0.575,0.5,Frau,20
62,27,0.525,0.526785714,Frau,22
63,37,0.875,0.767857143,Frau,25
64,34,0.675,0.607142857,Frau,22
66,34,0.775,0.651785714,Frau,22
67,29,0.65,0.5,Frau,21
68,35,0.8375,0.598214286,Mann,24
69,30,0.6,0.598214286,Frau,22
70,31,0.625,0.544642857,Frau,22
71,32,0.7125,0.669642857,Frau,24
73,33,0.65,0.5625,Frau,21
74,32,0.5625,0.571428571,Mann,26
76,34,0.7,0.589285714,Frau,21
77,33,0.825,0.642857143,Frau,22
78,33,0.75,0.625,Frau,23
79,29,0.6375,0.553571429,Frau,21
80,33,0.7,0.705357143,Frau,21
81,34,0.65,0.625,Frau,23
82,33,0.7625,0.6875,Mann,20
83,33,0.625,0.571428571,Frau,20
85,33,0.675,0.508928571,Frau,21
86,32,0.625,0.5625,Frau,22
88,33,0.6875,0.455357143,Frau,23
89,32,0.7,0.571428571,Frau,21
90,34,0.7125,0.625,Frau,22
91,37,0.7375,0.571428571,Frau,21
93,36,0.8375,0.732142857,Mann,21
94,32,0.6375,0.589285714,Frau,21
96,33,0.5875,0.660714286,Frau,24
97,34,0.6125,0.544642857,Frau,21
100,35,0.7625,0.848214286,Frau,24
