"Subject","LearningCondition","PropCorrect"
"S10","<oe> participants",0.19047619047619
"S100","<ij> participants",0.380952380952381
"S11","<oe> participants",0.285714285714286
"S12","<ij> participants",0.523809523809524
"S14","<ij> participants",0.285714285714286
"S15","<oe> participants",0.142857142857143
"S16","<ij> participants",0.428571428571429
"S18","<ij> participants",0.80952380952381
"S2","<oe> participants",0.0952380952380952
"S20","<oe> participants",0.0952380952380952
"S21","<ij> participants",0.19047619047619
"S22","<oe> participants",0.0952380952380952
"S23","<ij> participants",0.714285714285714
"S25","<ij> participants",0.285714285714286
"S28","<oe> participants",0.0952380952380952
"S29","<ij> participants",0.238095238095238
"S3","<ij> participants",0.19047619047619
"S32","<oe> participants",0.619047619047619
"S33","<ij> participants",0.666666666666667
"S34","<ij> participants",0.238095238095238
"S35","<oe> participants",0.428571428571429
"S36","<ij> participants",0.142857142857143
"S37","<ij> participants",0.333333333333333
"S38","<oe> participants",0.761904761904762
"S39","<ij> participants",0.19047619047619
"S4","<ij> participants",0.714285714285714
"S40","<ij> participants",0.571428571428571
"S41","<ij> participants",0.666666666666667
"S42","<oe> participants",0.428571428571429
"S43","<oe> participants",0.238095238095238
"S44","<ij> participants",0.904761904761905
"S45","<ij> participants",0.333333333333333
"S47","<ij> participants",0.380952380952381
"S48","<oe> participants",0.238095238095238
"S49","<oe> participants",0.476190476190476
"S5","<oe> participants",0.285714285714286
"S50","<ij> participants",0.380952380952381
"S51","<ij> participants",0.714285714285714
"S52","<ij> participants",0.761904761904762
"S53","<ij> participants",0.142857142857143
"S54","<oe> participants",0.333333333333333
"S55","<oe> participants",0.333333333333333
"S56","<ij> participants",0.333333333333333
"S57","<oe> participants",0.285714285714286
"S58","<oe> participants",0.380952380952381
"S59","<oe> participants",0.238095238095238
"S6","<oe> participants",0.333333333333333
"S60","<oe> participants",0.476190476190476
"S61","<ij> participants",0.333333333333333
"S62","<oe> participants",0
"S63","<ij> participants",0.714285714285714
"S64","<ij> participants",0.333333333333333
"S66","<oe> participants",0.142857142857143
"S67","<oe> participants",0.333333333333333
"S68","<oe> participants",0.333333333333333
"S69","<ij> participants",0.476190476190476
"S7","<ij> participants",0.666666666666667
"S70","<ij> participants",0.714285714285714
"S71","<ij> participants",0.523809523809524
"S73","<ij> participants",0.0952380952380952
"S74","<oe> participants",0.380952380952381
"S76","<ij> participants",0.333333333333333
"S77","<oe> participants",0.142857142857143
"S78","<ij> participants",0.80952380952381
"S79","<oe> participants",0.238095238095238
"S8","<ij> participants",0.333333333333333
"S80","<oe> participants",0.285714285714286
"S81","<oe> participants",0.619047619047619
"S82","<oe> participants",0.285714285714286
"S83","<oe> participants",0.142857142857143
"S85","<oe> participants",0.19047619047619
"S86","<ij> participants",0.333333333333333
"S88","<oe> participants",0.333333333333333
"S89","<oe> participants",0.142857142857143
"S90","<ij> participants",0.571428571428571
"S91","<ij> participants",0.333333333333333
"S93","<ij> participants",0.428571428571429
"S94","<ij> participants",0.142857142857143
"S96","<ij> participants",0.0952380952380952
"S97","<oe> participants",0.285714285714286
